"group","count","prop","hh.type","typology","code","country","year","subregions","regions"
"old_female",6800,0.0860541635029107,"single","un",72,"Botswana",2011,"SAF","AF"
"old_female",9170,0.116046570488484,"nuclear","un",72,"Botswana",2011,"SAF","AF"
"old_female",6110,0.0773221969121741,"complex","un",72,"Botswana",2011,"SAF","AF"
"old_female",56940,0.720577069096431,"extended","un",72,"Botswana",2011,"SAF","AF"
"old_male",9970,0.171659779614325,"single","un",72,"Botswana",2011,"SAF","AF"
"old_male",10970,0.18887741046832,"nuclear","un",72,"Botswana",2011,"SAF","AF"
"old_male",6290,0.108298898071625,"complex","un",72,"Botswana",2011,"SAF","AF"
"old_male",30850,0.53116391184573,"extended","un",72,"Botswana",2011,"SAF","AF"
"young_female",75810,0.079397163863346,"single","un",72,"Botswana",2011,"SAF","AF"
"young_female",229140,0.23998240506064,"nuclear","un",72,"Botswana",2011,"SAF","AF"
"young_female",93080,0.097484342598605,"complex","un",72,"Botswana",2011,"SAF","AF"
"young_female",556790,0.583136088477409,"extended","un",72,"Botswana",2011,"SAF","AF"
"young_male",127020,0.137229904926534,"single","un",72,"Botswana",2011,"SAF","AF"
"young_male",205490,0.222007346585998,"nuclear","un",72,"Botswana",2011,"SAF","AF"
"young_male",110400,0.119273984442524,"complex","un",72,"Botswana",2011,"SAF","AF"
"young_male",482690,0.521488764044944,"extended","un",72,"Botswana",2011,"SAF","AF"
"total",219600,0.108846504619533,"single","un",72,"Botswana",2011,"SAF","AF"
"total",454770,0.225410404853483,"nuclear","un",72,"Botswana",2011,"SAF","AF"
"total",215880,0.107002656727071,"complex","un",72,"Botswana",2011,"SAF","AF"
"total",1127270,0.558740433799913,"extended","un",72,"Botswana",2011,"SAF","AF"
"old_female",1826083.17,0.159597369139893,"single","inter",76,"Brazil",2010,"SAM","AM"
"old_female",2603925.66,0.227579823087609,"one gen","inter",76,"Brazil",2010,"SAM","AM"
"old_female",3565532.99,0.311623092602895,"two gen","inter",76,"Brazil",2010,"SAM","AM"
"old_female",2649385.74,0.231552976823476,"three+ gen","inter",76,"Brazil",2010,"SAM","AM"
"old_female",796884.92,0.0696467383461261,"skipped","inter",76,"Brazil",2010,"SAM","AM"
"old_male",992566.25,0.108350768273567,"single","inter",76,"Brazil",2010,"SAM","AM"
"old_male",2883839.94,0.314806465640957,"one gen","inter",76,"Brazil",2010,"SAM","AM"
"old_male",3196629.84,0.348951315894743,"two gen","inter",76,"Brazil",2010,"SAM","AM"
"old_male",1646164.79,0.179699057570612,"three+ gen","inter",76,"Brazil",2010,"SAM","AM"
"old_male",441474.88,0.0481923926201208,"skipped","inter",76,"Brazil",2010,"SAM","AM"
"total",7498247.49,0.0392943059331553,"single","inter",76,"Brazil",2010,"SAM","AM"
"total",22152815.99,0.116091063938989,"one gen","inter",76,"Brazil",2010,"SAM","AM"
"total",125421235.04,0.657265632635972,"two gen","inter",76,"Brazil",2010,"SAM","AM"
"total",31846257.06,0.166889205699124,"three+ gen","inter",76,"Brazil",2010,"SAM","AM"
"total",3904193.72,0.0204597917927598,"skipped","inter",76,"Brazil",2010,"SAM","AM"
"young_female",1680532.14,0.0195530529650865,"single","inter",76,"Brazil",2010,"SAM","AM"
"young_female",8404055.04,0.0977814880223724,"one gen","inter",76,"Brazil",2010,"SAM","AM"
"young_female",59712549.82,0.694757702944512,"two gen","inter",76,"Brazil",2010,"SAM","AM"
"young_female",14802338.18,0.172225746566597,"three+ gen","inter",76,"Brazil",2010,"SAM","AM"
"young_female",1347826.4,0.015682009501432,"skipped","inter",76,"Brazil",2010,"SAM","AM"
"young_male",2999065.93,0.0355875235232067,"single","inter",76,"Brazil",2010,"SAM","AM"
"young_male",8260995.35,0.098026643363331,"one gen","inter",76,"Brazil",2010,"SAM","AM"
"young_male",58946522.39,0.69947136912904,"two gen","inter",76,"Brazil",2010,"SAM","AM"
"young_male",12748368.35,0.15127471990525,"three+ gen","inter",76,"Brazil",2010,"SAM","AM"
"young_male",1318007.52,0.0156397440791718,"skipped","inter",76,"Brazil",2010,"SAM","AM"
"old_female",1826083.17,0.159597369139893,"single","un",76,"Brazil",2010,"SAM","AM"
"old_female",4378390.55,0.382665819567775,"nuclear","un",76,"Brazil",2010,"SAM","AM"
"old_female",347352.73,0.0303581911176366,"complex","un",76,"Brazil",2010,"SAM","AM"
"old_female",4889986.03,0.427378620174695,"extended","un",76,"Brazil",2010,"SAM","AM"
"old_male",992566.25,0.108350768273567,"single","un",76,"Brazil",2010,"SAM","AM"
"old_male",5045161.5,0.550741196962141,"nuclear","un",76,"Brazil",2010,"SAM","AM"
"old_male",245982.25,0.026851976650587,"complex","un",76,"Brazil",2010,"SAM","AM"
"old_male",2876965.7,0.314056058113704,"extended","un",76,"Brazil",2010,"SAM","AM"
"young_female",1680532.14,0.0195530529650865,"single","un",76,"Brazil",2010,"SAM","AM"
"young_female",57455050.53,0.668491616069187,"nuclear","un",76,"Brazil",2010,"SAM","AM"
"young_female",2537756.81,0.0295268933794024,"complex","un",76,"Brazil",2010,"SAM","AM"
"young_female",24273962.1,0.282428437586324,"extended","un",76,"Brazil",2010,"SAM","AM"
"young_male",2999065.93,0.0355875235232067,"single","un",76,"Brazil",2010,"SAM","AM"
"young_male",56573937.41,0.671317795397316,"nuclear","un",76,"Brazil",2010,"SAM","AM"
"young_male",2476347.03,0.0293848352249289,"complex","un",76,"Brazil",2010,"SAM","AM"
"young_male",22223609.17,0.263709845854548,"extended","un",76,"Brazil",2010,"SAM","AM"
"total",7498247.49,0.0392943059331553,"single","un",76,"Brazil",2010,"SAM","AM"
"total",123452539.99,0.64694875450052,"nuclear","un",76,"Brazil",2010,"SAM","AM"
"total",5607438.82,0.0293855886710044,"complex","un",76,"Brazil",2010,"SAM","AM"
"total",54264523,0.28437135089532,"extended","un",76,"Brazil",2010,"SAM","AM"
"old_female",5968000,0.0909627141274179,"single","inter",156,"China",2000,"EAS","AS"
"old_female",14515300,0.221238452475487,"one gen","inter",156,"China",2000,"EAS","AS"
